coucode,casecode,indcode,ecorisk,dCi
2,24,10,0.00102505282970045,-0
2,24,11,0.000594267331212817,-0
2,24,12,0.000624957034970564,-0
2,24,13,0.000905129413309336,-0
2,24,14,0.000228013268707361,-0
2,24,15,0.0035510424412748,-0
2,24,16,0.00158278879421359,-0
2,24,17,0.00118433609000523,-0
2,24,18,0.00102944171631691,-0
2,24,19,0.00165447910796301,-0
2,24,20,0.000472726591799755,-0
2,24,21,0.0016348838600323,-0
2,24,22,0.00160171211777926,-0
2,24,23,0.00251571197123046,-0
2,24,24,0.261475008340748,0.473526779186469
2,24,25,0.031639601958193,-0
2,24,26,0.00170834854180246,-0
2,24,27,0.00222898322276588,-0
2,24,28,0.00130710059049344,-0
2,24,29,0.00300475898006769,-0
2,24,30,0.000444470810086361,-0
2,24,31,0.000377672188435874,-0
2,24,32,5.71365795151157e-05,-0
2,24,33,0.000509997618393765,-0
2,24,34,1.49253787107284e-09,-0
2,33,1,0.00346817092067053,-0
2,33,2,0.00553948725505282,-0
2,33,3,0.00330805471005657,-0
2,33,4,0.000831802332963871,-0
2,33,5,0.00349222469474264,-0
2,33,6,0.0128481233258145,-0
2,33,7,0.00553609913580522,-0
2,33,8,0.00170519020556947,-0
2,33,9,0.00347226503069453,-0
2,33,10,0.00472106924989946,-0
2,33,11,0.00230982972896787,-0
2,33,12,0.00121932874964858,-0
2,33,13,0.00168290966645579,-0
2,33,14,0.000460635788236075,-0
2,33,15,0.00386366899781831,-0
2,33,16,0.0121207885744581,-0
2,33,17,0.00818040509445939,-0
2,33,18,0.00496203912581072,-0
2,33,19,0.00733286246716769,-0
2,33,20,0.00294520079932925,-0
2,33,21,0.00334519180435444,-0
2,33,22,0.00371231189792542,-0
2,33,23,0.00187195655890027,-0
2,33,24,0.00905353977363099,-0
2,33,25,0.0057940757632855,-0
2,33,26,0.022545166815486,-0
2,33,27,0.0127494463926145,-0
2,33,28,0.0114537470443645,-0
2,33,29,0.0151598062785402,-0
2,33,30,0.00110092004656182,-0
2,33,31,0.000937290221885267,-0
2,33,32,0.000181304227989898,-0
2,33,33,0.690136454571717,0.848099854899069
2,33,34,8.17106826644931e-09,-0
2,20,1,0.0155115093409601,-0
2,20,2,0.147961835230177,0.0985040144869347
2,20,3,0.00877309361332834,-0
2,20,4,0.0161763763363409,0.0141979844673679
2,20,5,0.0337349750993629,0.0292377676939214
2,20,6,0.0870686184169235,0.113861155441295
2,20,7,0.235746836638645,0.315560318796777
2,20,8,0.00721427040012956,-0
2,20,9,0.0411561625711185,0.0374897901319311
2,20,10,0.0511118396086295,0.0692594619198872
